s00002,"Sumit Kumar            ",2022-12-24,Bangalore,abcd@gmail.com,2,NULL,NULL
s00003,Rajesh Kumar,2022-12-24,Bangalore,abc1@gmail.com,3,NULL,NULL
s00004,Sanjay,2022-11-24,Patna,sanjay@gmail.com,4,NULL,NULL
s00005,Ranjay,2021-11-24,Ranchi,ranjay@gmail.com,5,NULL,NULL
s00006,Dhananjay,2019-10-24,Ranchi,dhananjay@gmail.com,6,NULL,NULL
s00007,Ranjit Singh,2018-11-24,Mysore,RanjitSingh@gmail.com,7,NULL,NULL
s00008,Rohit Kumar,2020-10-12,Patna,RohitKumar@gmail.com,8,NULL,NULL
s00009,Rohit Kumar,2022-10-12,Bhopal,RohitKumar1@gmail.com,9,Male,5859494944
s00010,Sumant Kumar,2000-03-20,Patna,Sumant@gmail.com,17,Male,2435617289
s0001000,Amit Kumar 1000,2021-06-09,Bangalore 1000,myemailid1000@gmail.com,1000,NULL,NULL
s0001001,Amit Kumar 1001,2020-12-14,Bangalore 1001,myemailid1001@gmail.com,1001,NULL,NULL
s0001002,Amit Kumar 1002,2021-07-21,Bangalore 1002,myemailid1002@gmail.com,1002,NULL,NULL
s0001003,Amit Kumar 1003,2020-12-04,Bangalore 1003,myemailid1003@gmail.com,1003,NULL,NULL
s0001004,Amit Kumar 1004,2021-06-11,Bangalore 1004,myemailid1004@gmail.com,1004,NULL,NULL
s0001005,Amit Kumar 1005,2020-12-10,Bangalore 1005,myemailid1005@gmail.com,1005,NULL,NULL
s0001006,Amit Kumar 1006,2021-01-05,Bangalore 1006,myemailid1006@gmail.com,1006,NULL,NULL
s0001007,Amit Kumar 1007,2020-08-18,Bangalore 1007,myemailid1007@gmail.com,1007,NULL,NULL
s0001008,Amit Kumar 1008,2021-06-19,Bangalore 1008,myemailid1008@gmail.com,1008,NULL,NULL
s0001009,Amit Kumar 1009,2021-01-30,Bangalore 1009,myemailid1009@gmail.com,1009,NULL,NULL
s0001010,Amit Kumar 1010,2020-07-17,Bangalore 1010,myemailid1010@gmail.com,1010,NULL,NULL
s0001011,Amit Kumar 1011,2020-07-18,Bangalore 1011,myemailid1011@gmail.com,1011,NULL,NULL
s0001012,Amit Kumar 1012,2021-07-14,Bangalore 1012,myemailid1012@gmail.com,1012,NULL,NULL
s0001013,Amit Kumar 1013,2021-09-21,Bangalore 1013,myemailid1013@gmail.com,1013,NULL,NULL
s0001014,Amit Kumar 1014,2020-11-03,Bangalore 1014,myemailid1014@gmail.com,1014,NULL,NULL
s0001015,Amit Kumar 1015,2021-07-16,Bangalore 1015,myemailid1015@gmail.com,1015,NULL,NULL
s0001016,Amit Kumar 1016,2021-07-18,Bangalore 1016,myemailid1016@gmail.com,1016,NULL,NULL
s0001017,Amit Kumar 1017,2021-08-11,Bangalore 1017,myemailid1017@gmail.com,1017,NULL,NULL
s0001018,Amit Kumar 1018,2020-07-25,Bangalore 1018,myemailid1018@gmail.com,1018,NULL,NULL
s0001019,Amit Kumar 1019,2021-10-13,Bangalore 1019,myemailid1019@gmail.com,1019,NULL,NULL
s0001020,Amit Kumar 1020,2020-12-14,Bangalore 1020,myemailid1020@gmail.com,1020,NULL,NULL
s0001021,Amit Kumar 1021,2021-03-17,Bangalore 1021,myemailid1021@gmail.com,1021,NULL,NULL
s0001022,Amit Kumar 1022,2020-10-16,Bangalore 1022,myemailid1022@gmail.com,1022,NULL,NULL
s0001023,Amit Kumar 1023,2021-05-11,Bangalore 1023,myemailid1023@gmail.com,1023,NULL,NULL
s0001024,Amit Kumar 1024,2020-08-11,Bangalore 1024,myemailid1024@gmail.com,1024,NULL,NULL
s0001025,Amit Kumar 1025,2020-11-08,Bangalore 1025,myemailid1025@gmail.com,1025,NULL,NULL
s0001026,Amit Kumar 1026,2021-05-07,Bangalore 1026,myemailid1026@gmail.com,1026,NULL,NULL
s0001027,Amit Kumar 1027,2020-11-18,Bangalore 1027,myemailid1027@gmail.com,1027,NULL,NULL
s0001028,Amit Kumar 1028,2020-12-01,Bangalore 1028,myemailid1028@gmail.com,1028,NULL,NULL
s0001029,Amit Kumar 1029,2021-08-23,Bangalore 1029,myemailid1029@gmail.com,1029,NULL,NULL
s0001030,Amit Kumar 1030,2021-06-22,Bangalore 1030,myemailid1030@gmail.com,1030,NULL,NULL
s0001031,Amit Kumar 1031,2021-05-22,Bangalore 1031,myemailid1031@gmail.com,1031,NULL,NULL
s0001032,Amit Kumar 1032,2020-10-09,Bangalore 1032,myemailid1032@gmail.com,1032,NULL,NULL
s0001033,Amit Kumar 1033,2020-10-01,Bangalore 1033,myemailid1033@gmail.com,1033,NULL,NULL
s0001034,Amit Kumar 1034,2020-11-12,Bangalore 1034,myemailid1034@gmail.com,1034,NULL,NULL
s0001035,Amit Kumar 1035,2020-11-28,Bangalore 1035,myemailid1035@gmail.com,1035,NULL,NULL
